School Name,address,Zip Code
KIPP - ONE,730 N PULASKI,60624
KOZMINSKI,936 E 54TH St,60615
LAKE VIEW HS,4015 N ASHLAND Ave,60613
LANE TECH HS,2501 W ADDISON St,60618
LANGFORD,6010 S THROOP St,60636
LARA,4619 S WOLCOTT Ave,60609
LASALLE,1734 N ORLEANS St,60614
LASALLE II,1148 N HONORE St,60622
LAVIZZO,138 W 109TH St,60628
LAWNDALE,3500 W DOUGLAS Blvd,60623
LEARN - 7,3021 W CARROLL Ave,60612
LEARN - BUTLER,1132 S HOMAN Ave,60624
LEARN - CAMPBELL,212 S FRANCISCO Ave,60612
LEARN - EXCEL,3021 W CARROLL Ave,60612
LEARN - MIDDLE,3021 W CARROLL Ave,60612
LEARN - PERKINS,1700 W 83RD St,60620
LEARN - SOUTH CHICAGO,8914 S BUFFALO Ave,60617
LEE,6448 S TRIPP Ave,60629
LEGACY,3318 W OGDEN Ave,60623
LEGAL PREP HS,4319 W WASHINGTON Blvd,60624
LELAND,512 S LAVERGNE Ave,60644
LENART,8101 S LASALLE St,60620
LEWIS,1431 N LEAMINGTON Ave,60651
LIBBY,5300 S LOOMIS Blvd,60609
LINCOLN,615 W KEMPER Pl,60614
LINCOLN PARK HS,2001 N ORCHARD St,60614
LINDBLOM HS,6130 S WOLCOTT Ave,60636
LITTLE VILLAGE,2620 S LAWNDALE Ave,60623
LLOYD,2103 N LAMON Ave,60639
LOCKE A,3141 W JACKSON Blvd,60612
LOCKE J,2828 N OAK PARK Ave,60634
LOGAN SQUARE,3651 W SCHUBERT Ave,60647
LORCA,3231 N SPRINGFIELD Ave,60618
LOVETT,6333 W BLOOMINGDALE Ave,60639
LOWELL,3320 W HIRSCH St,60651
LOZANO,1501 N GREENVIEW Ave,60642
LYON,2941 N MCVICKER Ave,60634
MADERO,3202 W 28TH St,60623
MADISON,7433 S DORCHESTER Ave,60619
MANIERRE,1420 N HUDSON Ave,60610
MANLEY HS,2935 W POLK St,60612
MANN,8050 S CHAPPEL Ave,60617
MARINE LEADERSHIP AT AMES HS,1920 N HAMLIN Ave,60647
MARQUETTE,6550 S RICHMOND St,60629
MARSH,9822 S EXCHANGE Ave,60617
MARSHALL HS,3250 W ADAMS St,60624
MASON,4217 W 18TH St,60623
MATHER HS,5835 N LINCOLN Ave,60659
MAYER,2250 N CLIFTON Ave,60614
MAYS,6656 S NORMAL Blvd,60621
MCAULIFFE,1841 N SPRINGFIELD Ave,60647
MCCORMICK,2712 S SAWYER Ave,60623
MCCUTCHEON,4865 N SHERIDAN Rd,60640
MCDADE,8801 S INDIANA Ave,60619
MCDOWELL,1419 E 89TH St,60619
MCKAY,6901 S FAIRFIELD Ave,60629
MCNAIR,4820 W WALTON St,60651
MCPHERSON,4728 N WOLCOTT Ave,60640
MELODY,3937 W WILCOX St,60624
METCALFE,12339 S NORMAL Ave,60628
MIÑOSO,3527 S WALLACE St,60609
MIRELES,9000 S EXCHANGE Ave,60617
MITCHELL,2233 W OHIO St,60612
MOLLISON,4415 S DR MARTIN L KING JR Dr,60653
MONARCAS,5815 S HOMAN Ave,60629
MONTESSORI ENGLEWOOD,6936 S HERMITAGE Ave,60636
MOOS,1711 N CALIFORNIA Ave,60647
MORGAN PARK HS,1744 W PRYOR Ave,60643
MORRILL,6011 S ROCKWELL St,60629
MORTON,431 N TROY St,60612
MOSAIC,6710 N WASHTENAW Ave,60645
MOUNT GREENWOOD,10841 S HOMAN Ave,60655
MOUNT VERNON,10540 S MORGAN St,60643
MOVING EVEREST,416 N LARAMIE Ave,60644
MOZART,2200 N HAMLIN Ave,60647
MULTICULTURAL ARTS HS,3120 S KOSTNER Ave,60623
MURPHY,3539 W GRACE St,60618
MURRAY,5335 S KENWOOD Ave,60615
NAMASTE,3737 S PAULINA St,60609
NASH,4837 W ERIE St,60644
NATIONAL TEACHERS,55 W CERMAK Rd,60616
NEIL,8555 S MICHIGAN Ave,60619
NETTELHORST,3252 N BROADWAY St,60657
NEW FIELD,1707 W MORSE Ave,60626
NEW SULLIVAN,8331 S MACKINAW Ave,60617
NEWBERRY,700 W WILLOW St,60614
NICHOLSON,6006 S PEORIA St,60621
NIGHTINGALE,5250 S ROCKWELL St,60632
NINOS HEROES,8344 S COMMERCIAL Ave,60617
NIXON,2121 N KEELER Ave,60639
NLCP - CHRISTIANA HS,1615 S CHRISTIANA Ave,60623
NLCP - COLLINS HS,1313 S SACRAMENTO Dr,60623
NOBEL,4127 W HIRSCH St,60651
NOBLE - ACADEMY HS,1443 N OGDEN Ave,60610
NOBLE - BAKER HS,2710 E 89TH St,60617
NOBLE - BULLS HS,2040 W ADAMS St,60612
NOBLE - BUTLER HS,821 E 103RD St,60628
NOBLE - COMER,7131 S SOUTH CHICAGO Ave,60619
NOBLE - DRW HS,931 S HOMAN Ave,60624
NOBLE - GOLDER HS,1454 W SUPERIOR St,60642
NOBLE - HANSBERRY HS,8748 S ABERDEEN St,60620
NOBLE - ITW SPEER HS,5321 W GRAND Ave,60639
NOBLE - JOHNSON HS,6350 S STEWART Ave,60621
NOBLE - MANSUETO HS,2911 W 47TH,60632
NOBLE - MUCHIN HS,1 N STATE St,60602
NOBLE - NOBLE HS,1010 N NOBLE St,60642
NOBLE - PRITZKER HS,4131 W CORTLAND St,60639
NOBLE - RAUNER HS,1337 W OHIO St,60642
NOBLE - ROWE CLARK HS,3645 W CHICAGO Ave,60651
NOBLE - UIC HS,1231 S DAMEN Ave,60608
NORTH RIVER,3729 W LELAND Ave,60625
NORTH-GRAND HS,4338 W WABANSIA Ave,60639
NORTHSIDE LEARNING HS,3730 W BRYN MAWR Ave,60659
NORTHSIDE PREP HS,5501 N KEDZIE Ave,60625
NORTHWEST,5252 W PALMER St,60639
NORWOOD PARK,5900 N NINA Ave,60631
OGDEN ES,24 W WALTON St,60610
OGDEN HS,1250 W ERIE St,60642
OGLESBY,7646 S GREEN St,60620
OKEEFFE,6940 S MERRILL Ave,60649
OMBUDSMAN - NORTHWEST HS,7500 N HARLEM Ave,60631
OMBUDSMAN - ROSELAND HS,10928 S HALSTED,60628
OMBUDSMAN - SOUTH HS,6057 S WESTERN Ave,60636
OMBUDSMAN - WEST HS,2401 W CONGRESS Pkwy,60612
ONAHAN,6634 W RAVEN St,60631
ORIOLE PARK,5424 N OKETO Ave,60656
OROZCO,1940 W 18TH St,60608
ORR HS,730 N PULASKI Rd,60624
ORTIZ DE DOMINGUEZ,3000 S LAWNDALE Ave,60623
OTIS,525 N ARMOUR St,60642
OTOOLE,6550 S SEELEY Ave,60636
OWEN,8247 S CHRISTIANA Ave,60652
OWENS,12302 S STATE St,60628
PALMER,5051 N KENNETH Ave,60630
PARK MANOR,7037 S RHODES Ave,60637
PARKER,6800 S STEWART Ave,60621
PARKSIDE,6938 S EAST END Ave,60649
PASTEUR,5825 S KOSTNER Ave,60629
PATHWAYS - ASHBURN HS,3284 W 87TH St,60652
PATHWAYS - AVONDALE HS,3100 W BELMONT Ave,60618
PATHWAYS - BRIGHTON PARK HS,3124 W 47TH St,60632
PATHWAYS - HUMBOLDT PARK HS,2421 W DIVISION,60622
PAYTON HS,1034 N WELLS St,60610
PEACE AND EDUCATION HS,4946 S PAULINA St,60609
PECK,3826 W 58TH St,60629
PEIRCE,1423 W BRYN MAWR Ave,60660
PENN,1616 S AVERS Ave,60623
